Hour,temp_f
12:00AM,45.62344262295084
1:00AM,44.762786885245895
2:00AM,43.98081967213117
3:00AM,43.32524590163935
4:00AM,42.74442622950817
5:00AM,42.29196721311476
6:00AM,42.85950819672133
7:00AM,43.831311475409805
8:00AM,45.28065573770489
9:00AM,46.98721311475408
10:00AM,48.699672131147494
11:00AM,50.193770491803285
12:00PM,51.541803278688555
1:00PM,52.50868852459016
2:00PM,53.1967213114754
3:00PM,53.391475409836055
4:00PM,53.17803278688522
5:00PM,52.29770491803276
6:00PM,51.18131147540983
7:00PM,50.04131147540981
8:00PM,48.8481967213115
9:00PM,47.85180327868851
10:00PM,47.06491803278684
11:00PM,46.39704918032784
